epoch	dropout	ppl
1	0.9	572.2149805952629
2	0.9	298.3003834420069
3	0.9	267.31047523233065
4	0.9	254.1279322554711
5	0.9	246.6675037824242
6	0.9	233.46258231133032
7	0.9	225.26038375954448
8	0.9	220.21980991154734
9	0.9	215.44555649589984
10	0.9	214.28133795484231
11	0.9	212.5350867904626
12	0.9	210.80431285398635
13	0.9	210.86850622822917
14	0.9	210.03144376846484
15	0.9	208.53752864740207
16	0.9	208.07916151397612
17	0.9	207.46900035697436
18	0.9	207.93581933697055
19	0.9	207.5628032124972
20	0.9	206.93892299863123
