epoch	dropout	ppl
1	0.0	506.4680456445963
2	0.0	202.98681699742065
3	0.0	152.30239084971137
4	0.0	123.17411091060502
5	0.0	106.01496871383878
6	0.0	79.64976065642341
7	0.0	73.03878667990244
8	0.0	66.50818432755888
9	0.0	64.2234022798874
10	0.0	62.16285430436083
11	0.0	61.47977800058902
12	0.0	60.88803198979939
13	0.0	60.69847732407164
14	0.0	60.54617824176461
15	0.0	60.40436585390142
16	0.0	60.24764246090397
17	0.0	60.20044582822973
18	0.0	60.18838370742142
19	0.0	60.185346313442786
20	0.0	60.184583078762614
