epoch	dropout	ppl
1	0.5	524.2901586845911
2	0.5	210.66385475457525
3	0.5	168.95488139483598
4	0.5	145.7981073572955
5	0.5	130.14773459014324
6	0.5	120.54132273690549
7	0.5	112.65206351498877
8	0.5	106.07439139875022
9	0.5	100.71005497387954
10	0.5	96.19121778482965
11	0.5	92.01196263352976
12	0.5	89.00293721514389
13	0.5	85.87749020661953
14	0.5	82.90086626691107
15	0.5	80.71286304095084
16	0.5	71.30487259736671
17	0.5	68.18214384887503
18	0.5	65.66543586264632
19	0.5	64.75869932664885
20	0.5	64.41819015322984
